campaign_id,factor,factor_level,replication_index,seed,objective_id,relative_instance_dir,requested_constraint_count,realised_constraint_count,requested_virtual_node_count,realised_virtual_node_count,configuration_digest,instance_digest,generator_version,requested_objective_count,realised_objective_count,objective_count,selected_objective_index,selected_objective_shape_digest,selected_objective_constraint_count,total_constraint_count,useful_virtual_node_count,irrelevant_virtual_node_count,total_virtual_node_count,requirement_set_count,requirement_membership_link_count,maximum_membership_link_count,membership_density,realised_density,session_support_policy,graph_node_count,graph_edge_count
objective_count_stage10_c8_nv32,objective_count,1,0,101,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R000_OBJ0001,instances/level_000001/rep_000_seed_101,8,8,32,32,e1c9064df2912793abe848d98a45d715f1ff07c9a619469dee4c1e18e10c74b1,025ab1c71f9cc2c202c70ed9e131623f3b45f06660e8c2fefb4634468a47f98a,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,9c323d270de7e235b67473caa127927becaca5b27e285fe6580a5fb2c329406b,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
objective_count_stage10_c8_nv32,objective_count,1,1,202,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R001_OBJ0001,instances/level_000001/rep_001_seed_202,8,8,32,32,f261398bf1a771be0610fd3d465b842664f721e7bf5e6359439648b5800412d7,a169ed738b9a2b0a0b79657c4582b84d7e95581941c01ddf1eaf158009e6e8ed,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,4494a7a20b74d62bb9ac4a0cdff3eddc4de6ec1d0ef6fa8f85f2615d14d07b95,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
objective_count_stage10_c8_nv32,objective_count,1,2,1198202409,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R002_OBJ0001,instances/level_000001/rep_002_seed_1198202409,8,8,32,32,15d805a0faafcdc47398bf2e94f55c4baf9b98d0dfb9b13f82ef0b8a53f22483,92f093ed82cfbca29ea77db603a45e5be41118d834586c1f393846093b3c3420,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,a2558b884eb755bc658dc6a324b9fc7f98a7dd1329eae352f299f6ab4e9b8e47,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
objective_count_stage10_c8_nv32,objective_count,1,3,796786883,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R003_OBJ0001,instances/level_000001/rep_003_seed_796786883,8,8,32,32,7d8b75e3e303fa1dacb6767827d9fcf2d5cf00cd5c758a2345e5d71fadfe94c2,60af78a91c61aab79d83cf18b9d5b0fa5880024968427f882c3cedfaba49ad5a,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,a9be03d60fbb2719bbc8044a14a7a04968578dc33f342417dba42fc41d407443,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
objective_count_stage10_c8_nv32,objective_count,1,4,1126922093,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R004_OBJ0001,instances/level_000001/rep_004_seed_1126922093,8,8,32,32,7b82453764308fb23e4d5ae29f383604071cac9b8881a3b8e686c459b2be3aab,020a4d67c695cdf054e4dd61e5309b12ae523935292fd0dc4e28adb7412e9d78,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,2ef93ab3239bb6f22860fa2be008258d5625ff2102a5a8734b242b64ca4b0d31,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
objective_count_stage10_c8_nv32,objective_count,1,5,809989256,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R005_OBJ0001,instances/level_000001/rep_005_seed_809989256,8,8,32,32,6fa86583808546b43355dbb37bdc72645d402e7e8bfee98c646b4b489396baa9,48ae40a80bd48fb72f2c350fbb17c4688deb141f8d683278cd7deb31585200d0,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,813ede191d5aa347f4bea6367149d32eca754154c69165b893c3f3c76fbefc80,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
objective_count_stage10_c8_nv32,objective_count,1,6,618554674,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R006_OBJ0001,instances/level_000001/rep_006_seed_618554674,8,8,32,32,96837f270be49f253441e338ef96955959b1519ffb43adb6037dcf5157cfe136,fd439029c66b96eaeb57ddd4c4caa561ceb13d918ec6e357dcbb974760496f06,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,e93a27110c6a00befb6250525c868d7a50fef8c7065d5a0b7c5a6b3af32c0f12,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
objective_count_stage10_c8_nv32,objective_count,1,7,1363159082,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R007_OBJ0001,instances/level_000001/rep_007_seed_1363159082,8,8,32,32,09191053bdd263b9610dd7aade2b1d43f69db6852b91a05668b7e8acff9974e9,11ea789f724d2a13117f8f2b785de54880a1d1eeb6558ed9d966aa78e94c989d,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,8611c0709bbb3227a973fd7fd50027bf2db8ced95c2b6187612844215a7fff50,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
objective_count_stage10_c8_nv32,objective_count,1,8,874332939,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R008_OBJ0001,instances/level_000001/rep_008_seed_874332939,8,8,32,32,846c4ba8108b5f3bad259523e94ddeae6ba9ef7591074cb570461ac19aca9ccf,e3ba453274997f0b1173c6706233d1a896b23a68dd171557bc135f31ee613e9f,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,d3253fe65f24e582b4cc39a77d003ded60911c7d94bc9cb415e0076d2bc5ae3b,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
objective_count_stage10_c8_nv32,objective_count,1,9,1767972531,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R009_OBJ0001,instances/level_000001/rep_009_seed_1767972531,8,8,32,32,29c3101dc884c2d17f94c3400af63ec5cd121cfdea8c3ffb17c4e0f3b8e2af21,d10f3139dc7c018f0a35440ca19490cd128a66294324651493b4298345e004ab,mcad-sensitivity-e2.1-objective-count-v2,1,1,1,0,ab5676b63d84e5be388e52ce2115b978cc44e91f89a093f2d80a7354e6b0608c,8,8,24,8,32,16,32,64,0.5,0.5,union_requirement_sets,49,48
