campaign_id,factor,factor_level,replication_index,seed,objective_id,relative_instance_dir,requested_constraint_count,realised_constraint_count,requested_virtual_node_count,realised_virtual_node_count,requirement_set_count,requirement_membership_link_count,membership_density,graph_node_count,graph_edge_count,configuration_digest,instance_digest,generator_version
virtual_node_count_stage10_c4,virtual_node_count,6,0,101,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R000,instances/level_000006/rep_000_seed_101,4,4,6,6,4,6,1.0,15,14,c937c98f87bf26e553bdde82b4d07675c6bd7e9c3902497531356b3a49567a9a,948f4d7655c4d44780d17bb7c313ee92bfcf12d2b65ba9a89429f0aebacd6109,mcad-sensitivity-e2.1-v1
virtual_node_count_stage10_c4,virtual_node_count,6,1,202,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R001,instances/level_000006/rep_001_seed_202,4,4,6,6,4,6,1.0,15,14,7dd212b457fb041c44a275dbd3c05c3321d7837006fc2386814e8c909f423618,b5937a91f7892ad87e58cb970d2a9f64246f150cf792a1e28064d34c5bc35769,mcad-sensitivity-e2.1-v1
virtual_node_count_stage10_c4,virtual_node_count,6,2,1198202409,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R002,instances/level_000006/rep_002_seed_1198202409,4,4,6,6,4,6,1.0,15,14,87490bb51263ae6b35afe0878d0388a3c96aeb69074fe104df7b09a08ca0a372,131ca6bb4bc57d43a7d63f7541caafe7a0a54cb279438440fb4d245a94497110,mcad-sensitivity-e2.1-v1
virtual_node_count_stage10_c4,virtual_node_count,6,3,796786883,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R003,instances/level_000006/rep_003_seed_796786883,4,4,6,6,4,6,1.0,15,14,01a13f4015b0af734013632d36a65b5787dc0cc15366309f297c2dd86a110bbe,bbc4013c7eca437b15052bf92b529162b1738884c76a052357be25a77d1a867c,mcad-sensitivity-e2.1-v1
virtual_node_count_stage10_c4,virtual_node_count,6,4,1126922093,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R004,instances/level_000006/rep_004_seed_1126922093,4,4,6,6,4,6,1.0,15,14,7f592c455f90a175c3fcc435ed3e483ea5ec2178a2c792cc6980bf8f65c25f87,46150eec00b58a88d838d652652df747e738b876cb004b1bd8fd17820dac699c,mcad-sensitivity-e2.1-v1
virtual_node_count_stage10_c4,virtual_node_count,6,5,809989256,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R005,instances/level_000006/rep_005_seed_809989256,4,4,6,6,4,6,1.0,15,14,6b957c0a5350ccb466eb1d5da5a6c387740cba4fbf0456f1bd2e7fb1a792a312,25f18d6eb89ca86e9efc261c30b2e8d68a3192947db7393ccf6bbdadedbf4a73,mcad-sensitivity-e2.1-v1
virtual_node_count_stage10_c4,virtual_node_count,6,6,618554674,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R006,instances/level_000006/rep_006_seed_618554674,4,4,6,6,4,6,1.0,15,14,a02282415152791dd843210633639a58d76b10c0b071f74608c3531e10d6c131,f9ad035a672f522eb4229624f2b1a2ca6029c555609783035de80b472bf2f34a,mcad-sensitivity-e2.1-v1
virtual_node_count_stage10_c4,virtual_node_count,6,7,1363159082,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R007,instances/level_000006/rep_007_seed_1363159082,4,4,6,6,4,6,1.0,15,14,1e7dd313431e01bb2dc0141163dcebc075064455d108f6abb6073eb7d48ab901,6ebfd90b02069d01b01e3f6ac0057b3d701639e3488e19ce3bc1af7e97ac455a,mcad-sensitivity-e2.1-v1
virtual_node_count_stage10_c4,virtual_node_count,6,8,874332939,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R008,instances/level_000006/rep_008_seed_874332939,4,4,6,6,4,6,1.0,15,14,bcf314fea782a200208912542e45f00fbddaf925aa4e7638dfb68436cf904374,fc58623586c0221f5f8cbf29f0c0a2d0f430dc375c420c591d80b065e11a19b6,mcad-sensitivity-e2.1-v1
virtual_node_count_stage10_c4,virtual_node_count,6,9,1767972531,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R009,instances/level_000006/rep_009_seed_1767972531,4,4,6,6,4,6,1.0,15,14,f3f1328be2144477d0bec6268306651f5a0535cae6b18efa3b845f444c352bb0,991d7f17b9d9bece4b97dbb4638bbaac3c36ce67f90283a7af4448d00539473f,mcad-sensitivity-e2.1-v1
