campaign_id,planned_session_index,planned_session_id,scenario_id,objective_id,profile,category,state,planned_length,scenario_file,objective_file
A_foodmart_deep_runtime_feasible,0,A_FM_RF_0001,fm_a_sales_profit_month_beer_and_wine_wa,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_WA,sales_profit_month,beer_and_wine,WA,4,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_beer_and_wine_wa.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_beer_and_wine_wa.json
A_foodmart_deep_runtime_feasible,1,A_FM_RF_0002,fm_a_sales_profit_month_beer_and_wine_ca,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_CA,sales_profit_month,beer_and_wine,CA,5,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_beer_and_wine_ca.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_beer_and_wine_ca.json
A_foodmart_deep_runtime_feasible,2,A_FM_RF_0003,fm_a_sales_profit_month_beer_and_wine_or,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_OR,sales_profit_month,beer_and_wine,OR,6,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_beer_and_wine_or.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_beer_and_wine_or.json
A_foodmart_deep_runtime_feasible,3,A_FM_RF_0004,fm_a_sales_profit_month_dairy_wa,O_FM_A_SALES_PROFIT_MONTH_DAIRY_WA,sales_profit_month,dairy,WA,7,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_dairy_wa.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_dairy_wa.json
A_foodmart_deep_runtime_feasible,4,A_FM_RF_0005,fm_a_sales_profit_month_dairy_ca,O_FM_A_SALES_PROFIT_MONTH_DAIRY_CA,sales_profit_month,dairy,CA,8,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_dairy_ca.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_dairy_ca.json
A_foodmart_deep_runtime_feasible,5,A_FM_RF_0006,fm_a_sales_profit_month_dairy_or,O_FM_A_SALES_PROFIT_MONTH_DAIRY_OR,sales_profit_month,dairy,OR,9,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_dairy_or.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_dairy_or.json
A_foodmart_deep_runtime_feasible,6,A_FM_RF_0007,fm_a_sales_profit_month_produce_wa,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_WA,sales_profit_month,produce,WA,10,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_produce_wa.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_produce_wa.json
A_foodmart_deep_runtime_feasible,7,A_FM_RF_0008,fm_a_sales_profit_month_produce_ca,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_CA,sales_profit_month,produce,CA,11,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_produce_ca.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_produce_ca.json
A_foodmart_deep_runtime_feasible,8,A_FM_RF_0009,fm_a_sales_profit_month_produce_or,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_OR,sales_profit_month,produce,OR,12,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_produce_or.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_produce_or.json
A_foodmart_deep_runtime_feasible,9,A_FM_RF_0010,fm_a_sales_profit_month_snack_foods_wa,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_WA,sales_profit_month,snack_foods,WA,4,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_snack_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_snack_foods_wa.json
A_foodmart_deep_runtime_feasible,10,A_FM_RF_0011,fm_a_sales_profit_month_snack_foods_ca,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_CA,sales_profit_month,snack_foods,CA,5,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_snack_foods_ca.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_snack_foods_ca.json
A_foodmart_deep_runtime_feasible,11,A_FM_RF_0012,fm_a_sales_profit_month_snack_foods_or,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_OR,sales_profit_month,snack_foods,OR,6,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_snack_foods_or.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_snack_foods_or.json
A_foodmart_deep_runtime_feasible,12,A_FM_RF_0013,fm_a_sales_profit_month_canned_foods_wa,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_WA,sales_profit_month,canned_foods,WA,7,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/scenarios/fm_a_sales_profit_month_canned_foods_wa.json,experiments/article/real_execution/foodmart_campaign_a_library_runtime_feasible/objectives/objective_fm_a_sales_profit_month_canned_foods_wa.json
