campaign_id,session_instance_id,session_template_id,objective_id,dataset_id,dw_id,planned_backend_id,planned_length,selected_query_prefix,complexity_level,virtual_node_depth,superposition_width,generation_status
A_foodmart_deep,A_FM_S0001,fm_a_sales_profit_month_beer_and_wine_wa,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_WA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0002,fm_a_sales_profit_month_beer_and_wine_ca,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_CA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0003,fm_a_sales_profit_month_beer_and_wine_or,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_OR,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0004,fm_a_sales_profit_month_beer_and_wine_bc,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_BC,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0005,fm_a_sales_profit_month_dairy_wa,O_FM_A_SALES_PROFIT_MONTH_DAIRY_WA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0006,fm_a_sales_profit_month_dairy_ca,O_FM_A_SALES_PROFIT_MONTH_DAIRY_CA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0007,fm_a_sales_profit_month_dairy_or,O_FM_A_SALES_PROFIT_MONTH_DAIRY_OR,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0008,fm_a_sales_profit_month_dairy_bc,O_FM_A_SALES_PROFIT_MONTH_DAIRY_BC,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0009,fm_a_sales_profit_month_produce_wa,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_WA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0010,fm_a_sales_profit_month_produce_ca,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_CA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0011,fm_a_sales_profit_month_produce_or,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_OR,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0012,fm_a_sales_profit_month_produce_bc,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_BC,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0013,fm_a_sales_profit_month_snack_foods_wa,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_WA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0014,fm_a_sales_profit_month_snack_foods_ca,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_CA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0015,fm_a_sales_profit_month_snack_foods_or,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_OR,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0016,fm_a_sales_profit_month_snack_foods_bc,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_BC,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0017,fm_a_sales_profit_month_canned_foods_wa,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_WA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0018,fm_a_sales_profit_month_canned_foods_ca,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_CA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0019,fm_a_sales_profit_month_canned_foods_or,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_OR,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0020,fm_a_sales_profit_month_canned_foods_bc,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_BC,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0021,fm_a_sales_profit_month_frozen_foods_wa,O_FM_A_SALES_PROFIT_MONTH_FROZEN_FOODS_WA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0022,fm_a_sales_profit_month_frozen_foods_ca,O_FM_A_SALES_PROFIT_MONTH_FROZEN_FOODS_CA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0023,fm_a_sales_profit_month_frozen_foods_or,O_FM_A_SALES_PROFIT_MONTH_FROZEN_FOODS_OR,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0024,fm_a_sales_profit_month_frozen_foods_bc,O_FM_A_SALES_PROFIT_MONTH_FROZEN_FOODS_BC,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,1,1,1,planned_not_executed
A_foodmart_deep,A_FM_S0025,fm_a_unit_sales_month_beer_and_wine_wa,O_FM_A_UNIT_SALES_MONTH_BEER_AND_WINE_WA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
A_foodmart_deep,A_FM_S0026,fm_a_unit_sales_month_beer_and_wine_ca,O_FM_A_UNIT_SALES_MONTH_BEER_AND_WINE_CA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
A_foodmart_deep,A_FM_S0027,fm_a_unit_sales_month_beer_and_wine_or,O_FM_A_UNIT_SALES_MONTH_BEER_AND_WINE_OR,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
A_foodmart_deep,A_FM_S0028,fm_a_unit_sales_month_beer_and_wine_bc,O_FM_A_UNIT_SALES_MONTH_BEER_AND_WINE_BC,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
A_foodmart_deep,A_FM_S0029,fm_a_unit_sales_month_dairy_wa,O_FM_A_UNIT_SALES_MONTH_DAIRY_WA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
A_foodmart_deep,A_FM_S0030,fm_a_unit_sales_month_dairy_ca,O_FM_A_UNIT_SALES_MONTH_DAIRY_CA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
A_foodmart_deep,A_FM_S0031,fm_a_unit_sales_month_dairy_or,O_FM_A_UNIT_SALES_MONTH_DAIRY_OR,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
A_foodmart_deep,A_FM_S0032,fm_a_unit_sales_month_dairy_bc,O_FM_A_UNIT_SALES_MONTH_DAIRY_BC,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
A_foodmart_deep,A_FM_S0033,fm_a_unit_sales_month_produce_wa,O_FM_A_UNIT_SALES_MONTH_PRODUCE_WA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
A_foodmart_deep,A_FM_S0034,fm_a_unit_sales_month_produce_ca,O_FM_A_UNIT_SALES_MONTH_PRODUCE_CA,foodmart,foodmart,sql_direct,4,Q01|Q02|Q03|Q04,2,2,1,planned_not_executed
