scenario_id,query_id,query_role,expected_decision,query_hash,mdx
fm_a_sales_profit_month_beer_and_wine_wa,Q01_ALLOW_TARGET_PRIMARY,ALLOW_TARGET_PRIMARY,ALLOW,2ca04c491bfaed4f5828abece244d6a24847dd7411dc513fafee684f9ef865f4,"SELECT {[Measures].[Store Sales]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[WA])"
fm_a_sales_profit_month_beer_and_wine_wa,Q02_ALLOW_TARGET_COMPLEMENTARY,ALLOW_TARGET_COMPLEMENTARY,ALLOW,73a10b57576f8dbe2e215771a6f824844a48470e18d27438589449cabf15fbc7,"SELECT {[Measures].[Profit]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[WA])"
fm_a_sales_profit_month_beer_and_wine_wa,Q03_ALLOW_SUPERPOSED_MEASURES,ALLOW_SUPERPOSED_MEASURES,ALLOW,5b257ca3b2a9fb44846bfcfb18f0f54309b84a8467a0c6f089ef3f2f65d98312,"SELECT {[Measures].[Store Sales], [Measures].[Profit]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[WA])"
fm_a_sales_profit_month_beer_and_wine_wa,Q04_ALLOW_CATEGORY_AXIS_COVERAGE,ALLOW_CATEGORY_AXIS_COVERAGE,ALLOW,d43ba2a168b065911dc27bc6e6aeaf4294c11e60cd3ce8a9afe1451824771d43,"SELECT {[Measures].[Store Sales]} ON COLUMNS, CrossJoin([Time].[Month].Members, [Product].[Product Category].Members) ON ROWS FROM [Sales] WHERE ([Store].[Store State].[WA])"
fm_a_sales_profit_month_beer_and_wine_wa,Q05_ALLOW_STATE_AXIS_COVERAGE,ALLOW_STATE_AXIS_COVERAGE,ALLOW,1e92c98b0b3af14c8a2af1500d7ba4da15826e9617a0f37845ca8c9c5093281b,"SELECT {[Measures].[Profit]} ON COLUMNS, CrossJoin([Time].[Month].Members, [Store].[Store State].Members) ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine])"
fm_a_sales_profit_month_beer_and_wine_wa,Q06_BLOCK_WRONG_CATEGORY,BLOCK_WRONG_CATEGORY,BLOCK,8ff9106e83ecd3f0bdeb71a06905a00cadba53f5b2c6bca456a8df9db59bf82b,"SELECT {[Measures].[Store Sales]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Meat], [Store].[Store State].[WA])"
fm_a_sales_profit_month_beer_and_wine_wa,Q07_BLOCK_WRONG_STATE,BLOCK_WRONG_STATE,BLOCK,33c90e5f2f188062d42e0948779f3321f9fe09c31f75a1f154cf29441e6dcf39,"SELECT {[Measures].[Store Sales]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[DF])"
fm_a_sales_profit_month_beer_and_wine_wa,Q08_BLOCK_BAD_GRAIN_YEAR,BLOCK_BAD_GRAIN_YEAR,BLOCK,33cf5f057d8157655492bd34e2baf012e3992ebac91936a39658a544df19e302,"SELECT {[Measures].[Store Sales]} ON COLUMNS, [Time].[Year].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[WA])"
fm_a_sales_profit_month_beer_and_wine_wa,Q09_BLOCK_REDUNDANT_PRIMARY,BLOCK_REDUNDANT_PRIMARY,BLOCK,2ca04c491bfaed4f5828abece244d6a24847dd7411dc513fafee684f9ef865f4,"SELECT {[Measures].[Store Sales]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[WA])"
fm_a_sales_profit_month_beer_and_wine_wa,Q10_BLOCK_WRONG_CATEGORY_AND_STATE,BLOCK_WRONG_CATEGORY_AND_STATE,BLOCK,21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,"SELECT {[Measures].[Unit Sales]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Meat], [Store].[Store State].[DF])"
