scenario_file,scenario_id,query_id,query_role,expected_decision,query_hash,query_text_len,query_text_preview
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q01_ALLOW_TARGET_PRIMARY,ALLOW_TARGET_PRIMARY,ALLOW,36caee152a6562abb4e0725c2a1ae69cc8fe93a48ec6683058c6b858f90af823,202,"/* MCAD_CTX_06AFA372486B3018 */ SELECT {[Measures].[Store Sales]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[BC])"
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q02_ALLOW_TARGET_COMPLEMENTARY,ALLOW_TARGET_COMPLEMENTARY,ALLOW,999015b118af7db89ce2b4fd3ad6455b816c598f6fba35d9f12330cec79d7a6c,197,"/* MCAD_CTX_D163785F9FC4FE2D */ SELECT {[Measures].[Profit]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[BC])"
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q03_ALLOW_SUPERPOSED_MEASURES,ALLOW_SUPERPOSED_MEASURES,ALLOW,14ce6d37a76faf7ac8eda8d2450a45d76b61ada9c38a8aed1ca829e340024f7f,248,"/* MCAD_CTX_06C0E37634ECEAA6 */ SELECT {[Measures].[Store Sales], [Measures].[Profit], [Measures].[Unit Sales]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine],"
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q04_ALLOW_CATEGORY_AXIS_COVERAGE,ALLOW_CATEGORY_AXIS_COVERAGE,ALLOW,abda3a3528e9682e46ce9d3a398e5038f0aec41ceb7b2a09efd1fdb74f832b32,215,"/* MCAD_CTX_683980A02B7EA586 */ SELECT {[Measures].[Store Sales]} ON COLUMNS, CrossJoin([Time].[Month].Members, {[Product].[Product Category].[Beer and Wine]}) ON ROWS FROM [Sales] WHERE ([Store].[Store State].[BC])"
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q05_ALLOW_STATE_AXIS_COVERAGE,ALLOW_STATE_AXIS_COVERAGE,ALLOW,b5a1ff462e808763b25b9d26840d144c83a1aa35e02d329913682b03fb24e3f7,210,"/* MCAD_CTX_D7B17AA5333EA572 */ SELECT {[Measures].[Profit]} ON COLUMNS, CrossJoin([Time].[Month].Members, {[Store].[Store State].[BC]}) ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine])"
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q06_BLOCK_WRONG_CATEGORY,BLOCK_WRONG_CATEGORY,BLOCK,b099f1b4f09d08cd24f092a7ab75886944ea3468262a610db5cd1302696c80ff,217,"/* MCAD_CTX_D1F2BF9AC66BB1EA */ SELECT {[Measures].[Store Sales]} ON COLUMNS, CrossJoin([Time].[Month].Members, {[Store].[Store State].[BC]}) ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Breakfast Foods])"
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q07_BLOCK_WRONG_STATE,BLOCK_WRONG_STATE,BLOCK,f23cf012693512c754e3be3f2c2f8b84dd2fbfc3a374afed859b8cd6937d1ace,222,"/* MCAD_CTX_48C06D2EA412EB1C */ SELECT {[Measures].[Store Sales]} ON COLUMNS, CrossJoin([Time].[Month].Members, {[Store].[Store State].[Zacatecas]}) ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine"
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q08_BLOCK_BAD_GRAIN_YEAR,BLOCK_BAD_GRAIN_YEAR,BLOCK,2b9eb22afe921e2e0df46b84762b213f0439bbc6b484729f6ee3c467a4b82ba1,201,"/* MCAD_CTX_09E3F44122300050 */ SELECT {[Measures].[Store Sales]} ON COLUMNS, [Time].[Year].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[BC])"
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q09_BLOCK_REDUNDANT_PRIMARY,BLOCK_REDUNDANT_PRIMARY,BLOCK,36caee152a6562abb4e0725c2a1ae69cc8fe93a48ec6683058c6b858f90af823,202,"/* MCAD_CTX_06AFA372486B3018 */ SELECT {[Measures].[Store Sales]} ON COLUMNS, [Time].[Month].Members ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Beer and Wine], [Store].[Store State].[BC])"
experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,fm_a_category_state_profitability_beer_and_wine_bc,Q10_BLOCK_WRONG_CATEGORY_AND_STATE,BLOCK_WRONG_CATEGORY_AND_STATE,BLOCK,c22111d8be2e0356a25090363eae483c6ff042f6871e84115741b4dc3fa3a996,223,"/* MCAD_CTX_763881F1AFE1DB13 */ SELECT {[Measures].[Unit Sales]} ON COLUMNS, CrossJoin([Time].[Month].Members, {[Store].[Store State].[Zacatecas]}) ON ROWS FROM [Sales] WHERE ([Product].[Product Category].[Breakfast Food"
